id,category_id(カテゴリID),name,price（原価）,unit（単位）,step（値の幅）,views
,
,2,たまご（Ｍ）,12,1,個,0
,2,鶏もも肉,68,100,ｇ,0
,2,鶏むね肉,25,100,ｇ,0
,5,牛乳,13,1,Ｌ,0
,6,コーラ,5,500,ｍｌ,0
,7,こんにゃく,32,1,個,0
,7,ちくわ,44,1,本,0
,7,ちくわぶ,40,1,本,0
,7,つくね串,51,1,本,0
,7,たまご,40,1,個,0
,7,大根,45,1,個,0
,7,昆布まき,50,1,個,0
,7,牛すじ串,72,1,本,0
,7,たこ串,160,1,本,0
,7,巾着,72,1,個,0
,8,うに,85,1,皿,0
,8,まぐろ,78,1,皿,0
,8,はまち,66,1,皿,0
,8,いくら,65,1,皿,0
,8,サーモン,64,1,皿,0
,8,カニサラダ,63,1,皿,0
,8,赤貝,62,1,皿,0
,8,やりいか,54,1,皿,0
,8,つぶ貝,53,1,皿,0
,8,卵,30,1,皿,0
,8,えび,25,1,皿,0
,8,ツナ,10,1,皿,0
,1だいこん,85,1,本,0
,1,にんじん,25,1,本,0
,1,はくさい,158,1,個,0
,1,キャベツ,101,1,個,0
,1,ほうれん草,128,1,束,0
,1,ネギ,46,1,本,0
,1,レタス,71,1,個,0
,1,きゅうり,31,1,本,0
,1,なす,30,1,個,0
,1,トマト,67,1,個,0
,1,ピーマン,19,1,個,0
,1,ばれいしょ,24,1,個,0
,1,さといも,15,1,個,0
,1,たまねぎ,20,1,個,0
,4,りんご,56,1,個,0
,4,もも,124,1,個,0
,4,ぶどう,204,1,房,0
,4,かき,35,1,個,0
,4,いちご,11,1,個,0
,4,メロン,457,1,個,0
,4,すいか,885,1,個,0
,4,バナナ,22,1,本,0
,4,レモン,42,1,個,0
,4,グレープフルーツ,59,1,個,0
,4,オレンジ,49,1,個,0
,4,キウイ,48,1,個,0
,4,おうとう,328,1,個,0
,4,パイナップル,223,1,個,0
,1,アスカパラガス,19,1,本,0
,1,ブロッコリー,135,1,房,0
,1,かぼちゃ,74,1,個,0
,1,さやえんどう,20,30,ｇ,0
,1,にんにく,23,1,個,0
,1,しょうが,21,1,個,0
,1,生しいたけ,9,1,個,0




